number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: LDL

successful step! iteration = 0 , error before = 45352606.330484 , error next = 8492025.468904 , error change = 36860580.861580 , lambda = 0.200000 , time consumption = 0.482845s

unsuccessful step! iteration = 1 , error before = 8492025.468904 , error next = 193868510.613568 , error change = -185376485.144664 , lambda = 2.000000 , time consumption = 0.467940s

successful step! iteration = 2 , error before = 8492025.468904 , error next = 2342976.939495 , error change = 6149048.529408 , lambda = 0.200000 , time consumption = 0.463214s

unsuccessful step! iteration = 3 , error before = 2342976.939495 , error next = 11269453.305172 , error change = -8926476.365676 , lambda = 2.000000 , time consumption = 0.466555s

successful step! iteration = 4 , error before = 2342976.939495 , error next = 1000566.317767 , error change = 1342410.621729 , lambda = 0.200000 , time consumption = 0.462678s

unsuccessful step! iteration = 5 , error before = 1000566.317767 , error next = 4351184.480001 , error change = -3350618.162234 , lambda = 2.000000 , time consumption = 0.463653s

successful step! iteration = 6 , error before = 1000566.317767 , error next = 567118.265382 , error change = 433448.052385 , lambda = 0.200000 , time consumption = 0.465308s

unsuccessful step! iteration = 7 , error before = 567118.265382 , error next = 2013611.226750 , error change = -1446492.961368 , lambda = 2.000000 , time consumption = 0.474065s

successful step! iteration = 8 , error before = 567118.265382 , error next = 377878.662676 , error change = 189239.602705 , lambda = 0.200000 , time consumption = 0.470077s

unsuccessful step! iteration = 9 , error before = 377878.662676 , error next = 1038568.738492 , error change = -660690.075816 , lambda = 2.000000 , time consumption = 0.466444s

successful step! iteration = 10 , error before = 377878.662676 , error next = 281174.774672 , error change = 96703.888004 , lambda = 0.200000 , time consumption = 0.478079s

unsuccessful step! iteration = 11 , error before = 281174.774672 , error next = 598300.979909 , error change = -317126.205238 , lambda = 2.000000 , time consumption = 0.460727s

successful step! iteration = 12 , error before = 281174.774672 , error next = 227285.142553 , error change = 53889.632119 , lambda = 0.200000 , time consumption = 0.473513s

unsuccessful step! iteration = 13 , error before = 227285.142553 , error next = 387301.324121 , error change = -160016.181568 , lambda = 2.000000 , time consumption = 0.483381s

successful step! iteration = 14 , error before = 227285.142553 , error next = 195213.052497 , error change = 32072.090056 , lambda = 0.200000 , time consumption = 0.483993s

unsuccessful step! iteration = 15 , error before = 195213.052497 , error next = 280392.695725 , error change = -85179.643228 , lambda = 2.000000 , time consumption = 0.474006s

successful step! iteration = 16 , error before = 195213.052497 , error next = 174904.773051 , error change = 20308.279446 , lambda = 0.200000 , time consumption = 0.473943s

unsuccessful step! iteration = 17 , error before = 174904.773051 , error next = 223004.239430 , error change = -48099.466379 , lambda = 2.000000 , time consumption = 0.464336s

successful step! iteration = 18 , error before = 174904.773051 , error next = 161231.252798 , error change = 13673.520253 , lambda = 0.200000 , time consumption = 0.467981s

unsuccessful step! iteration = 19 , error before = 161231.252798 , error next = 190206.518984 , error change = -28975.266186 , lambda = 2.000000 , time consumption = 0.465602s

successful step! iteration = 20 , error before = 161231.252798 , error next = 151464.350741 , error change = 9766.902057 , lambda = 0.200000 , time consumption = 0.463209s

unsuccessful step! iteration = 21 , error before = 151464.350741 , error next = 170151.326522 , error change = -18686.975780 , lambda = 2.000000 , time consumption = 0.465936s

successful step! iteration = 22 , error before = 151464.350741 , error next = 144100.664039 , error change = 7363.686702 , lambda = 0.200000 , time consumption = 0.465654s

unsuccessful step! iteration = 23 , error before = 144100.664039 , error next = 156998.109879 , error change = -12897.445840 , lambda = 2.000000 , time consumption = 0.469165s

successful step! iteration = 24 , error before = 144100.664039 , error next = 138282.903190 , error change = 5817.760849 , lambda = 0.200000 , time consumption = 0.464232s

unsuccessful step! iteration = 25 , error before = 138282.903190 , error next = 147762.850651 , error change = -9479.947461 , lambda = 2.000000 , time consumption = 0.485970s

successful step! iteration = 26 , error before = 138282.903190 , error next = 133505.052335 , error change = 4777.850855 , lambda = 0.200000 , time consumption = 0.466039s

unsuccessful step! iteration = 27 , error before = 133505.052335 , error next = 140864.483411 , error change = -7359.431076 , lambda = 2.000000 , time consumption = 0.463984s

successful step! iteration = 28 , error before = 133505.052335 , error next = 129457.752194 , error change = 4047.300141 , lambda = 0.200000 , time consumption = 0.472861s

unsuccessful step! iteration = 29 , error before = 129457.752194 , error next = 135433.184063 , error change = -5975.431869 , lambda = 2.000000 , time consumption = 0.471425s

successful step! iteration = 30 , error before = 129457.752194 , error next = 125945.018069 , error change = 3512.734125 , lambda = 0.200000 , time consumption = 0.464589s

